ID|Name|Lvl|PID|Region|Lang|Period|Status|Instr|Pioneers|Artists|Works
308|Sanjo|2||Korea|EN|1900-now|A|Various|Unknown|Various|Traditional
309|Korean Folk|2||Korea|EN|1900-now|A|Various|Unknown|Various|Traditional
310|K-Rock|2||Korea|EN|1900-now|A|Various|Unknown|Various|Traditional
311|Korean Hip Hop|2||Korea|EN|1900-now|A|Various|Unknown|Various|Traditional
312|C-Pop|2||China|EN|1900-now|A|Various|Unknown|Various|Traditional
313|Chinese Opera|2||China|EN|1900-now|A|Various|Unknown|Various|Traditional
314|Guoyue|2||China|EN|1900-now|A|Various|Unknown|Various|Traditional
315|Cantopop|2||China|EN|1900-now|A|Various|Unknown|Various|Traditional
316|Mandopop|2||China|EN|1900-now|A|Various|Unknown|Various|Traditional
317|Chinese Folk|2||China|EN|1900-now|A|Various|Unknown|Various|Traditional
318|Chinese Rock|2||China|EN|1900-now|A|Various|Unknown|Various|Traditional
319|Traditional Chinese|2||China|EN|1900-now|A|Various|Unknown|Various|Traditional
320|Bollywood|2||Indien/Südasien|Hindi|1930-heute|A|Tabla, Sitar, Harmonium|Dadasaheb Phalke, Ardeshi|Shah Rukh Khan, Amitabh Bachch|Mother India (1957), Shol
321|Carnatic|2||Indien|EN|1900-now|A|Various|Unknown|Various|Traditional
322|Hindustani|2||Indien|EN|1900-now|A|Various|Unknown|Various|Traditional
323|Bhangra|2||Indien|EN|1900-now|A|Various|Unknown|Various|Traditional
324|Qawwali|2||Indien|EN|1900-now|A|Various|Unknown|Various|Traditional
325|Ghazal|2||Indien|EN|1900-now|A|Various|Unknown|Various|Traditional
326|Indian Classical|2||Indien|EN|1900-now|A|Various|Unknown|Various|Traditional
327|Bhajan|2||Indien|EN|1900-now|A|Various|Unknown|Various|Traditional
328|Kirtan|2||Indien|EN|1900-now|A|Various|Unknown|Various|Traditional
329|Rabindra Sangeet|2||Indien|EN|1900-now|A|Various|Unknown|Various|Traditional
330|Tamil Film Music|2||Indien|EN|1900-now|A|Various|Unknown|Various|Traditional
331|Luk Thung|2||Thailand|EN|1900-now|A|Various|Unknown|Various|Traditional
332|Mor Lam|2||Thailand|EN|1900-now|A|Various|Unknown|Various|Traditional
333|Thai Pop|2||Thailand|EN|1900-now|A|Various|Unknown|Various|Traditional
334|Kantrum|2||Thailand|EN|1900-now|A|Various|Unknown|Various|Traditional
335|Thai Classical|2||Thailand|EN|1900-now|A|Various|Unknown|Various|Traditional
336|Pleng Phua Cheewit|2||Thailand|EN|1900-now|A|Various|Unknown|Various|Traditional
337|Dangdut|2||Indonesien|EN|1900-now|A|Various|Unknown|Various|Traditional
338|Kroncong|2||Indonesien|EN|1900-now|A|Various|Unknown|Various|Traditional
339|Gamelan|2||Indonesien|EN|1900-now|A|Various|Unknown|Various|Traditional
340|Pop Indonesia|2||Indonesia|ID|1960-heute|A|Gitarre, Synthesizer, Schlagze|Koes Plus, Titiek Puspa|Sheila On 7, Dewa 19, Noah|"""Kugadaikan Cintaku"" (Koe"
341|Campursari|2||Indonesien|EN|1900-now|A|Various|Unknown|Various|Traditional
342|Keroncong|2||Indonesien|EN|1900-now|A|Various|Unknown|Various|Traditional
343|Indonesian Folk|2||Indonesien|EN|1900-now|A|Various|Unknown|Various|Traditional
344|Afrobeat|2||Nigeria|EN|1900-now|A|Various|Unknown|Various|Traditional
345|Highlife|2||Nigeria|EN|1900-now|A|Various|Unknown|Various|Traditional
346|Jùjú|2||Nigeria|EN|1900-now|A|Various|Unknown|Various|Traditional
347|Fuji|2||Nigeria|EN|1900-now|A|Various|Unknown|Various|Traditional
348|Afropop|2||Nigeria|EN|1900-now|A|Various|Unknown|Various|Traditional
349|Yoruba Music|2||Nigeria|EN|1900-now|A|Various|Unknown|Various|Traditional
350|Igbo Music|2||Nigeria|EN|1900-now|A|Various|Unknown|Various|Traditional
351|Hausa Music|2||Nigeria|EN|1900-now|A|Various|Unknown|Various|Traditional
352|Hiplife|2||Ghana|EN|1900-now|A|Various|Unknown|Various|Traditional
353|Azonto|2||Ghana|EN|1900-now|A|Various|Unknown|Various|Traditional
354|Ghana Highlife|2||Ghana|EN|1900-now|A|Various|Unknown|Various|Traditional
355|Palm-wine|2||Ghana|EN|1900-now|A|Various|Unknown|Various|Traditional
356|Akan Music|2||Ghana|EN|1900-now|A|Various|Unknown|Various|Traditional
357|Ga Music|2||Ghana|EN|1900-now|A|Various|Unknown|Various|Traditional
358|Kwaito|2||Südafrika|EN|1900-now|A|Various|Unknown|Various|Traditional
359|Mbaqanga|2||Südafrika|EN|1900-now|A|Various|Unknown|Various|Traditional
360|Amapiano|2||Südafrika/Afrik|EN, Z|2012-heute|A|Log Drums, Piano, Synthesizer|DJ Stokie, Kabza De Small|Major League DJz, Focalistic, |"""Jerusalema"" (Master KG),"
361|Maskandi|2||Südafrika|EN|1900-now|A|Various|Unknown|Various|Traditional
362|Isicathamiya|2||Südafrika|EN|1900-now|A|Various|Unknown|Various|Traditional
363|Marabi|2||Südafrika|EN|1900-now|A|Various|Unknown|Various|Traditional
364|Gqom|2||Südafrika|EN|1900-now|A|Various|Unknown|Various|Traditional
365|Wassoulou|2||Mali|EN|1900-now|A|Various|Unknown|Various|Traditional
366|Malian Blues|2||Mali|EN|1900-now|A|Various|Unknown|Various|Traditional
367|Griot Music|2||Mali|EN|1900-now|A|Various|Unknown|Various|Traditional
368|Mbalax|2||Senegal|EN|1900-now|A|Various|Unknown|Various|Traditional
369|Senegalese Hip-Hop|2||Senegal|EN|1900-now|A|Various|Unknown|Various|Traditional
370|Sabar|2||Senegal|EN|1900-now|A|Various|Unknown|Various|Traditional
371|House|2|5|Global|EN|1980-now|A|Various|Unknown|Various|Traditional
372|Deep House|3|371|Global|EN|1990-now|A|Various|Unknown|Various|Traditional
373|Tech House|3|371|Global|EN|1990-now|A|Various|Unknown|Various|Traditional
374|Progressive House|3|371|Global|EN|1990-now|A|Various|Unknown|Various|Traditional
375|Tribal House|3|371|Global|EN|1990-now|A|Various|Unknown|Various|Traditional
376|Acid House|3|371|Global|EN|1990-now|A|Various|Unknown|Various|Traditional
377|Funky House|3|371|Global|EN|1990-now|A|Various|Unknown|Various|Traditional
378|Soulful House|3|371|Global|EN|1990-now|A|Various|Unknown|Various|Traditional
379|Vocal House|3|371|Global|EN|1990-now|A|Various|Unknown|Various|Traditional
380|Future House|3|371|Europa/Nordamer|EN|2010-heute|A|Synthesizer, Drum Computer, Di|Oliver Heldens, Tchami|Don Diablo, Heldens, Tchami|"""Gecko"" (Oliver Heldens),"
381|Bass House|3|371|Global|EN|1990-now|A|Various|Unknown|Various|Traditional
382|Tropical House|3|371|Global|EN|1990-now|A|Various|Unknown|Various|Traditional
383|French House|3|371|Global|EN|1990-now|A|Various|Unknown|Various|Traditional
384|Techno|2|5|Global|EN|1980-now|A|Various|Unknown|Various|Traditional
385|Detroit Techno|3|384|Global|EN|1990-now|A|Various|Unknown|Various|Traditional
386|Minimal Techno|3|384|Global|EN|1990-now|A|Various|Unknown|Various|Traditional
387|Acid Techno|3|384|Global|EN|1990-now|A|Various|Unknown|Various|Traditional
388|Industrial Techno|3|384|Global|EN|1990-now|A|Various|Unknown|Various|Traditional
389|Berlin Techno|3|384|Global|EN|1990-now|A|Various|Unknown|Various|Traditional
390|Hard Techno|3|384|Global|EN|1990-now|A|Various|Unknown|Various|Traditional
391|Dub Techno|3|384|Global|EN|1990-now|A|Various|Unknown|Various|Traditional
392|Ambient Techno|3|384|Global|EN|1990-now|A|Various|Unknown|Various|Traditional
393|Trance|2|5|Global|EN|1980-now|A|Various|Unknown|Various|Traditional
394|Uplifting Trance|3|393|Global|EN|1990-now|A|Various|Unknown|Various|Traditional
395|Psy Trance|3|393|Global|EN|1990-now|A|Various|Unknown|Various|Traditional
396|Progressive Trance|3|393|Global|EN|1990-now|A|Various|Unknown|Various|Traditional
397|Hard Trance|3|393|Global|EN|1990-now|A|Various|Unknown|Various|Traditional
398|Vocal Trance|3|393|Global|EN|1990-now|A|Various|Unknown|Various|Traditional
399|Tech Trance|3|393|Global|EN|1990-now|A|Various|Unknown|Various|Traditional
400|Goa Trance|3|393|Goa, Indien / G|EN|1990-heute|A|Synthesizer, Sequencer, Drum M|Goa Gil, Ray Castle|Astral Projection, Infected Mu|The Infinity Project - My
