ID|Name|Lvl|PID|Region|Lang|Period|Status|Instr|Pioneers|Artists|Works
431|Drill|2||Internet|EN|2000-now|E|Various|Unknown|Various|Traditional
432|UK Drill|2||Internet|EN|2000-now|E|Various|Unknown|Various|Traditional
433|Jersey Club|2||Internet|EN|2000-now|E|Various|Unknown|Various|Traditional
434|Juke|2||Internet|EN|2000-now|E|Various|Unknown|Various|Traditional
435|Bass Music|2||Internet|EN|2000-now|E|Various|Unknown|Various|Traditional
436|Future Garage|2||Internet|EN|2000-now|E|Various|Unknown|Various|Traditional
437|Post-Dubstep|2||Internet|EN|2000-now|E|Various|Unknown|Various|Traditional
438|Wonky|2||Internet|EN|2000-now|E|Various|Unknown|Various|Traditional
439|Glitch Hop|2||Internet|EN|2000-now|E|Various|Unknown|Various|Traditional
440|Neurohop|2||Global|EN|2010-heute|A|Synthesizer, Computer, Drum Ma|Culprate, Koan Sound|Frequent, Mr. Bill, Kursa|"""Deliverance"" (Culprate),"
441|Liquid Trap|2||Internet|EN|2000-now|E|Various|Unknown|Various|Traditional
442|Wave|2||Internet|EN|2000-now|E|Various|Unknown|Various|Traditional
443|Hardwave|2||Internet|EN|2000-now|E|Various|Unknown|Various|Traditional
444|Darksynth|2||Internet|EN|2000-now|E|Various|Unknown|Various|Traditional
445|Retrowave|2||Internet|EN|2000-now|E|Various|Unknown|Various|Traditional
446|Outrun|2||Internet|EN|2000-now|E|Various|Unknown|Various|Traditional
447|Post-Rock|3||Global|EN|1990-now|A|Various|Unknown|Various|Traditional
448|Math Rock|3||Global|EN|1990-now|A|Various|Unknown|Various|Traditional
449|Shoegaze|3||Global|EN|1990-now|A|Various|Unknown|Various|Traditional
450|Dream Pop|3||Global|EN|1990-now|A|Various|Unknown|Various|Traditional
451|Slowcore|3||Global|EN|1990-now|A|Various|Unknown|Various|Traditional
452|Emo|3||Global|EN|1990-now|A|Various|Unknown|Various|Traditional
453|Screamo|3||Global|EN|1990-now|A|Various|Unknown|Various|Traditional
454|Post-Hardcore|3||Global|EN|1990-now|A|Various|Unknown|Various|Traditional
455|Metalcore|3||Global|EN|1990-now|A|Various|Unknown|Various|Traditional
456|Deathcore|3||Global|EN|1990-now|A|Various|Unknown|Various|Traditional
457|Black Metal|3||Global|EN|1990-now|A|Various|Unknown|Various|Traditional
458|Death Metal|3||Global|EN|1990-now|A|Various|Unknown|Various|Traditional
459|Thrash Metal|3||Global|EN|1990-now|A|Various|Unknown|Various|Traditional
460|Power Metal|3||Europa (v.a. De|EN, D|1980s-heute|A|E-Gitarre, Schlagzeug, Keyboar|Helloween, Blind Guardian|Sabaton, DragonForce, Powerwol|Keeper of the Seven Keys 
461|Folk Metal|3||Global|EN|1990-now|A|Various|Unknown|Various|Traditional
462|Symphonic Metal|3||Global|EN|1990-now|A|Various|Unknown|Various|Traditional
463|Gothic Metal|3||Global|EN|1990-now|A|Various|Unknown|Various|Traditional
464|Doom Metal|3||Global|EN|1990-now|A|Various|Unknown|Various|Traditional
465|Sludge Metal|3||Global|EN|1990-now|A|Various|Unknown|Various|Traditional
466|Stoner Metal|3||Global|EN|1990-now|A|Various|Unknown|Various|Traditional
467|Progressive Metal|3||Global|EN|1990-now|A|Various|Unknown|Various|Traditional
468|Nu Metal|3||Global|EN|1990-now|A|Various|Unknown|Various|Traditional
469|Alternative Metal|3||Global|EN|1990-now|A|Various|Unknown|Various|Traditional
470|Industrial Metal|3||Global|EN|1990-now|A|Various|Unknown|Various|Traditional
471|Avant-garde Metal|3||Global|EN|1990-now|A|Various|Unknown|Various|Traditional
