ID|Name|Lvl|PID|Region|Lang|Period|Status|Instr|Pioneers|Artists|Works
222|Danish Rock|2||Dänemark|EN|1900-now|A|Various|Unknown|Various|Traditional
223|Samba|2||Brasilien|EN|1900-now|A|Various|Unknown|Various|Traditional
224|Bossa Nova|2||Brasilien|EN|1900-now|A|Various|Unknown|Various|Traditional
225|MPB|2||Brasilien|EN|1900-now|A|Various|Unknown|Various|Traditional
226|Forró|2||Brasilien|EN|1900-now|A|Various|Unknown|Various|Traditional
227|Baião|2||Brasilien|EN|1900-now|A|Various|Unknown|Various|Traditional
228|Axé|2||Brasilien|EN|1900-now|A|Various|Unknown|Various|Traditional
229|Tropicália|2||Brasilien|EN|1900-now|A|Various|Unknown|Various|Traditional
230|Choro|2||Brasilien|EN|1900-now|A|Various|Unknown|Various|Traditional
231|Frevo|2||Brasilien|EN|1900-now|A|Various|Unknown|Various|Traditional
232|Maracatu|2||Brasilien|EN|1900-now|A|Various|Unknown|Various|Traditional
233|Lambada|2||Brasilien|EN|1900-now|A|Various|Unknown|Various|Traditional
234|Pagode|2||Brasilien|EN|1900-now|A|Various|Unknown|Various|Traditional
235|Sertanejo|2||Brasilien|EN|1900-now|A|Various|Unknown|Various|Traditional
236|Funk Carioca|2||Brasilien|EN|1900-now|A|Various|Unknown|Various|Traditional
237|Brazilian Jazz|2||Brasilien|EN|1900-now|A|Various|Unknown|Various|Traditional
238|Tango|2||Argentinien|EN|1900-now|A|Various|Unknown|Various|Traditional
239|Folklore|2||Argentinien|EN|1900-now|A|Various|Unknown|Various|Traditional
240|Cuarteto|2||Argentinien/Süd|ES|1940-heute|A|Gitarre, Akkordeon, Piano|Eduardo Gelato, Augusto M|La Barra, Trulala, Rodrigo|"""Ocho Cuarenta"", ""La Moro"
241|Chacarera|2||Argentinien|EN|1900-now|A|Various|Unknown|Various|Traditional
242|Zamba|2||Argentinien|EN|1900-now|A|Various|Unknown|Various|Traditional
243|Milonga|2||Argentinien|EN|1900-now|A|Various|Unknown|Various|Traditional
244|Cumbia Argentina|2||Argentinien|EN|1900-now|A|Various|Unknown|Various|Traditional
245|Rock Nacional|2||Argentinien|EN|1900-now|A|Various|Unknown|Various|Traditional
246|Mariachi|2||Mexiko|EN|1900-now|A|Various|Unknown|Various|Traditional
247|Ranchera|2||Mexiko|EN|1900-now|A|Various|Unknown|Various|Traditional
248|Norteño|2||Mexiko|EN|1900-now|A|Various|Unknown|Various|Traditional
249|Banda|2||Mexiko|EN|1900-now|A|Various|Unknown|Various|Traditional
250|Corrido|2||Mexiko|EN|1900-now|A|Various|Unknown|Various|Traditional
